Name	MarketCap	IPOyear	Sector	Industry	CapBucket_Label
America Movil, S.A.B. de C.V.	61550345594.0		Public Utilities	Telecommunications Equipment	Large
America Movil, S.A.B. de C.V.	62144397186.0		Public Utilities	Telecommunications Equipment	Large
American Assets Trust, Inc.	1899812840.0	2011.0	Consumer Services	Real Estate Investment Trusts	Small
American Axle & Manufacturing Holdings, Inc.	1623722150.0		Capital Goods	Auto Parts:O.E.M.	Small
American Campus Communities Inc	6510272866.0	2004.0	Consumer Services	Real Estate Investment Trusts	Mid
American Eagle Outfitters, Inc.	2154686220.0		Consumer Services	Clothing/Shoe/Accessory Stores	Mid
American Electric Power Company, Inc.	36273228173.0		Public Utilities	Electric Utilities: Central	Large
American Equity Investment Life Holding Company	2461233715.0	2003.0	Finance	Life Insurance	Mid
American Express Company	75748215694.0		Finance	Finance: Consumer Services	Large
American Financial Group, Inc.	8943098497.0		Finance	Property-Casualty Insurers	Mid
American Homes 4 Rent	5810555802.0	2013.0	Consumer Services	Real Estate Investment Trusts	Mid
American International Group, Inc.	54385021996.0		Finance	Property-Casualty Insurers	Large
American Midstream Partners, LP	665113263.0	2011.0	Public Utilities	Natural Gas Distribution	Small
American Realty Investors, Inc.	127838326.4		Finance	Real Estate	Micro
American Renal Associates Holdings, Inc	427672306.6	2016.0	Health Care	Hospital/Nursing Management	Small
American States Water Company	1787897743.0		Public Utilities	Water Supply	Small
American Tower Corporation (REIT)	63312255359.0		Consumer Services	Real Estate Investment Trusts	Large
American Vanguard Corporation	588230543.8		Basic Industries	Agricultural Chemicals	Small
American Water Works	14414126300.0	2008.0	Public Utilities	Water Supply	Large
AmeriGas Partners, L.P.	4003726299.0		Consumer Services	Other Specialty Stores	Mid
AMERIPRISE FINANCIAL SERVICES, INC.	20572206628.0		Finance	Investment Managers	Large
AmerisourceBergen Corporation (Holding Co)	17163008886.0		Health Care	Other Pharmaceuticals	Large
Amira Nature Foods Ltd	164794308.4	2012.0	Consumer Non-Durables	Packaged Foods	Micro
AMN Healthcare Services Inc	1802798026.0		Technology	Professional Services	Small
Ampco-Pittsburgh Corporation	179845275.0		Capital Goods	Fluid Controls	Micro
Amphenol Corporation	24530279116.0		Capital Goods	Electrical Products	Large
Amplify Snack Brands, inc.	558690619.8	2015.0	Consumer Non-Durables	Packaged Foods	Small
AMREP Corporation	56219967.8		Consumer Services	Newspapers/Magazines	Micro
AMTEK, Inc.	14466254732.0		Consumer Durables	Metal Fabrications	Large
Anadarko Petroleum Corporation	22705712197.0		Energy	Oil & Gas Production	Large
Andeavor	15787435873.0		Energy	Integrated oil Companies	Large
Andeavor Logistics LP	5221909900.0	2011.0	Energy	Natural Gas Distribution	Mid
AngloGold Ashanti Limited	4050576381.0		Basic Industries	Precious Metals	Mid
Anheuser-Busch Inbev SA	2.27689e+11		Consumer Non-Durables	Beverages (Production/Distribution)	Mega
Anixter International Inc.	2421549954.0		Consumer Non-Durables	Telecommunications Equipment	Mid
Annaly Capital Management Inc	13426384835.0		Consumer Services	Real Estate Investment Trusts	Large
Antero Midstream GP LP	3434911462.0	2017.0	Public Utilities	Natural Gas Distribution	Mid
Antero Midstream Partners LP	6098184490.0	2014.0	Public Utilities	Natural Gas Distribution	Mid
Antero Resources Corporation	6101187731.0	2013.0	Energy	Oil & Gas Production	Mid
Anthem, Inc.	50284967944.0		Health Care	Medical Specialities	Large
Anthem, Inc.	13771333334.0	2015.0	Health Care	Medical Specialities	Large
Anworth Mortgage Asset  Corporation	588234061.6		Consumer Services	Real Estate Investment Trusts	Small
Aon plc	35136700620.0		Finance	Specialty Insurers	Large
Apache Corporation	14616442606.0		Energy	Oil & Gas Production	Large
Apartment Investment and Management Company	7127261261.0	1994.0	Consumer Services	Real Estate Investment Trusts	Mid
Apollo Commercial Real Estate Finance	1875745738.0	2009.0	Consumer Services	Real Estate Investment Trusts	Small
Apollo Global Management, LLC	12031384271.0	2011.0	Finance	Investment Managers	Large
Apollo Senior Floating Rate Fund Inc.	262561808.5	2011.0	n/a	n/a	Micro
Apollo Tactical Income Fund Inc.	234317221.2	2013.0	n/a	n/a	Micro
Apple Hospitality REIT, Inc.	4012765567.0	2015.0	Consumer Services	Real Estate Investment Trusts	Mid
Applied Industrial Technologies, Inc.	2215820264.0		Consumer Durables	Industrial Specialties	Mid
AptarGroup, Inc.	5204250023.0		Consumer Non-Durables	Plastic Products	Mid
Aqua America, Inc.	5938891082.0		Public Utilities	Water Supply	Mid
AquaVenture Holdings Limited	422143074.9	2016.0	Public Utilities	Water Supply	Small
Aramark	9814008524.0	2013.0	Consumer Services	Restaurants	Mid
Arbor Realty Trust	493866823.8	2004.0	Consumer Services	Real Estate Investment Trusts	Small
ARC Document Solutions, Inc.	160214777.7	2004.0	Consumer Services	Professional Services	Micro
Arc Logistic Partners LP	326026345.9	2013.0	Energy	Oil Refining/Marketing	Small
ArcelorMittal	27203024662.0		Basic Industries	Steel/Iron Ore	Large
Arch Coal, Inc.	1860974746.0	2016.0	Energy	Coal Mining	Small
Archer-Daniels-Midland Company	23548235085.0		Consumer Non-Durables	Packaged Foods	Large
Archrock, Inc.	705843418.2		Public Utilities	Natural Gas Distribution	Small
Arconic Inc.	11202187375.0		Capital Goods	Metal Fabrications	Large
Arcos Dorados Holdings Inc.	1825773155.0	2011.0	Consumer Services	Restaurants	Small
Ardagh Group S.A.	4872506000.0	2017.0	Consumer Durables	Containers/Packaging	Mid
Ardmore Shipping Corporation	268604880.0	2013.0	Transportation	Marine Transportation	Micro
Ares Capital Corporation	205760000.0		n/a	n/a	Micro
Ares Commercial Real Estate Corporation	375290719.7	2012.0	Consumer Services	Real Estate Investment Trusts	Small
Ares Dynamic Credit Allocation Fund, Inc.	377738454.8	2012.0	n/a	n/a	Small
Ares Management L.P.	3854970393.0	2014.0	Finance	Investment Managers	Mid
Argan, Inc.	974638353.2		Basic Industries	Engineering & Construction	Small
Arista Networks, Inc.	12906706916.0	2014.0	Technology	Computer Communications Equipment	Large
Arlington Asset Investment Corp	332425495.1		Finance	Finance/Investors Services	Small
Armada Hoffler Properties, Inc.	600294739.8	2013.0	Finance	Real Estate	Small
ARMOUR Residential REIT, Inc.	1082979810.0		Consumer Services	Real Estate Investment Trusts	Small
Armstrong Flooring, Inc.	399781670.0	2016.0	Consumer Non-Durables	Plastic Products	Small
Armstrong World Industries Inc	2504284349.0		Consumer Non-Durables	Plastic Products	Mid
Arrow Electronics, Inc.	6908203967.0		Consumer Non-Durables	Electronic Components	Mid
Arthur J. Gallagher & Co.	10417082480.0		Finance	Specialty Insurers	Large
Artisan Partners Asset Management Inc.	2282757509.0	2013.0	Finance	Investment Managers	Mid
ASA Gold and Precious Metals Limited	237459900.0		n/a	n/a	Micro
Asbury Automotive Group Inc	1086566840.0	2002.0	Consumer Durables	Automotive Aftermarket	Small
Ashford Hospitality Prime, Inc.	305785769.5	2013.0	Consumer Services	Real Estate Investment Trusts	Small
Ashford Hospitality Trust Inc	600170629.5	2003.0	Consumer Services	Real Estate Investment Trusts	Small
Ashland Global Holdings Inc.	3793436790.0		Consumer Durables	Specialty Chemicals	Mid
Asia Pacific Fund, Inc. (The)	139851853.4		n/a	n/a	Micro
Asia Tigers Fund, Inc. (The)	42814770.05		n/a	n/a	Nano
Aspen Aerogels, Inc.	95793426.4	2014.0	Consumer Services	RETAIL: Building Materials	Micro
Aspen Insurance Holdings Limited	2701959986.0	2003.0	Finance	Property-Casualty Insurers	Mid
Associated Banc-Corp	3337112863.0		Finance	Major Banks	Mid
Associated Capital Group, Inc.	792290875.6	2015.0	Finance	Investment Bankers/Brokers/Service	Small
Assurant, Inc.	5107389293.0	2004.0	Finance	Accident &Health Insurance	Mid
Assured Guaranty Ltd.	5047943745.0	2004.0	Finance	Property-Casualty Insurers	Mid
Astoria Financial Corporation	1971292224.0		Finance	Savings Institutions	Small
Astrazeneca PLC	74061000000.0		Health Care	Major Pharmaceuticals	Large
At Home Group Inc.	1480569884.0	2016.0	Consumer Services	Home Furnishings	Small
AT&T Inc.	2.31294e+11		Public Utilities	Telecommunications Equipment	Mega
Atento S.A.	875822313.6	2014.0	Public Utilities	Telecommunications Equipment	Small
Athene Holding Ltd.	10603617780.0	2016.0	Finance	Life Insurance	Large
Atkore International Group Inc.	1060574974.0	2016.0	Miscellaneous	Industrial Machinery/Components	Small
Atlantic Power Corporation	265146088.4		Energy	Electric Utilities: Central	Micro
Atmos Energy Corporation	9331651136.0		Public Utilities	Oil/Gas Transmission	Mid
Atwood Oceanics, Inc.	547118854.0		Energy	Oil & Gas Production	Small
AU Optronics Corp	3888195024.0	2002.0	Technology	Semiconductors	Mid
Autohome Inc.	7426294198.0	2013.0	Technology	EDP Services	Mid
Autoliv, Inc.	9371026724.0		Capital Goods	Auto Parts:O.E.M.	Mid
AutoNation, Inc.	4367095372.0		Consumer Durables	Automotive Aftermarket	Mid
AutoZone, Inc.	14843094453.0		Consumer Services	Other Specialty Stores	Large
AvalonBay Communities, Inc.	25810504080.0		Consumer Services	Real Estate Investment Trusts	Large
Avangrid, Inc.	15048556746.0	2015.0	Public Utilities	Electric Utilities: Central	Large
Avenue Income Credit Strategies Fund	188397377.5	2011.0	n/a	n/a	Micro
Avery Dennison Corporation	8311135676.0		Consumer Durables	Containers/Packaging	Mid
Avianca Holdings S.A.	957107796.5	2013.0	Transportation	Air Freight/Delivery Services	Small
Avista Corporation	3297855693.0		Public Utilities	Power Generation	Mid
Avnet, Inc.	4672724398.0		Consumer Non-Durables	Electronic Components	Mid
Avon Products, Inc.	1099874108.0		Consumer Non-Durables	Package Goods/Cosmetics	Small
AVX Corporation	2917439369.0		Capital Goods	Electrical Products	Mid
Axalta Coating Systems Ltd.	7136885618.0	2014.0	Basic Industries	Paints/Coatings	Mid
Axis Capital Holdings Limited	5035852992.0	2003.0	Finance	Property-Casualty Insurers	Mid
Axovant Sciences Ltd.	2122561760.0	2015.0	Health Care	Major Pharmaceuticals	Mid
Azul S.A.	7632996218.0	2017.0	Transportation	Air Freight/Delivery Services	Mid
Azure Power Global Limited	377574746.2	2016.0	Public Utilities	Electric Utilities: Central	Small
AZZ Inc.	1238626632.0		Consumer Durables	Building Products	Small
B&G Foods, Inc.	2044762240.0		Consumer Non-Durables	Packaged Foods	Mid
Babcock	97212127.5	2015.0	Capital Goods	Building Products	Micro
Babson Global Short Duration High Yield Fund	404667103.6	2012.0	n/a	n/a	Small
Badger Meter, Inc.	1321736193.0		Capital Goods	Industrial Machinery/Components	Small
Baker Hughes, a GE company	38373708353.0	2017.0	Energy	Metal Fabrications	Large
BalckRock Taxable Municipal Bond Trust	1361028574.0	2010.0	n/a	n/a	Small
Ball Corporation	13899022742.0		Consumer Durables	Containers/Packaging	Large
Banc of California, Inc.	939387314.5		Finance	Major Banks	Small
Banco Bilbao Viscaya Argentaria S.A.	58477365307.0		Finance	Commercial Banks	Large
Banco Bradesco Sa	64562635140.0		Finance	Major Banks	Large
Banco Bradesco Sa	61885202580.0		Finance	Major Banks	Large
Banco De Chile	14667087823.0		Finance	Commercial Banks	Large
Banco Latinoamericano de Comercio Exterior, S.A.	1058432402.0	1992.0	Finance	Commercial Banks	Small
Banco Santander Brasil SA	66395974500.0	2009.0	Finance	Commercial Banks	Large
Banco Santander Chile	13879057209.0		Finance	Commercial Banks	Large
Banco Santander, S.A.	1.03301e+11		Finance	Commercial Banks	Large
BanColombia S.A.	10601738108.0		Finance	Commercial Banks	Large
BancorpSouth, Inc.	2644392828.0		Finance	Major Banks	Mid
Bank of America Corporation	2.51842e+11		Finance	Major Banks	Mega
Bank of Hawaii Corporation	3335322366.0		Finance	Major Banks	Mid
Bank Of Montreal	46342081404.0		Finance	Commercial Banks	Large
Bank of N.T. Butterfield & Son Limited (The)	1792463816.0	2016.0	Finance	Commercial Banks	Small
Bank Of New York Mellon Corporation (The)	54096058684.0		Finance	Major Banks	Large
Bank of Nova Scotia (The)	73797673710.0		Finance	Major Banks	Large
Bankrate, Inc.	1242282883.0	2011.0	Technology	EDP Services	Small
BankUnited, Inc.	3539364328.0	2011.0	Finance	Savings Institutions	Mid
Barclays PLC	41861055000.0		Finance	Commercial Banks	Large
Barings Corporate Investors	310142508.3		n/a	n/a	Small
Barings Participation Investors	149666741.0	1988.0	n/a	n/a	Micro
Barnes & Noble Education, Inc	260959752.9	2015.0	Consumer Services	Other Specialty Stores	Micro
Barnes & Noble, Inc.	526422920.5		Consumer Services	Other Specialty Stores	Small
Barnes Group, Inc.	3325015117.0		Capital Goods	Metal Fabrications	Mid
Barracuda Networks, Inc.	1264351722.0	2013.0	Technology	Computer peripheral equipment	Small
Barrick Gold Corporation	20696553516.0		Basic Industries	Precious Metals	Large
Basic Energy Services, Inc.	369326152.5	2005.0	Energy	Oilfield Services/Equipment	Small
Baxter International Inc.	33498663793.0		Health Care	Medical/Dental Instruments	Large
Baytex Energy Corp	564431856.9		Energy	Oil & Gas Production	Small
BB&T Corporation	37414682889.0		Finance	Major Banks	Large
BBVA Banco Frances S.A.	3139648818.0		Finance	Commercial Banks	Mid
BBX Capital Corporation	734097369.9	2017.0	Finance	Real Estate	Small
BCE, Inc.	42631702144.0		Public Utilities	Telecommunications Equipment	Large
Beazer Homes USA, Inc.	494662637.5	1994.0	Capital Goods	Homebuilding	Small
Becton, Dickinson and Company	45035107365.0		Health Care	Medical/Dental Instruments	Large
Belden Inc	3192754485.0		Basic Industries	Telecommunications Equipment	Mid
Bellatrix Exploration Ltd	114063240.1		Energy	Oil & Gas Production	Micro
Belmond Ltd.	1504596113.0		Consumer Services	Hotels/Resorts	Small
Bemis Company, Inc.	3865547693.0		Consumer Durables	Containers/Packaging	Mid
Benchmark Electronics, Inc.	1602565825.0		Technology	Electrical Products	Small
Berkshire Hills Bancorp, Inc.	1358215387.0		Finance	Banks	Small
Berry Global Group, Inc.	7333696000.0	2012.0	Consumer Non-Durables	Plastic Products	Mid
Best Buy Co., Inc.	16525910884.0		Consumer Services	Consumer Electronics/Video Chains	Large
BHP Billiton Limited	1.13954e+11		Basic Industries	Precious Metals	Large
BHP Billiton plc	99917055067.0		Energy	Coal Mining	Large
Big Lots, Inc.	2103187911.0		Consumer Services	Department/Specialty Retail Stores	Mid
Biglari Holdings Inc.	615114867.5		Consumer Services	Restaurants	Small
Bill Barrett Corporation	213583006.0	2004.0	Energy	Oil & Gas Production	Micro
BioAmber Inc.	23406198.3	2013.0	Basic Industries	Major Chemicals	Nano
Biohaven Pharmaceutical Holding Company Ltd.	1262964035.0	2017.0	Health Care	Major Pharmaceuticals	Small
Bio-Rad Laboratories, Inc.	6456336474.0		Capital Goods	Biotechnology: Laboratory Analytical Instruments	Mid
Bitauto Holdings Limited	2465509232.0	2010.0	Technology	EDP Services	Mid
Black Hills Corporation	3744902921.0		Public Utilities	Electric Utilities: Central	Mid
Black Knight Financial Services, Inc.	6521699758.0	2015.0	Technology	Computer Software: Prepackaged Software	Mid
Black Stone Minerals, L.P.	3332823361.0	2015.0	Energy	Oil & Gas Production	Mid
BlackRock 2022 Global Income Opportunity Trust	209548652.4	2017.0	n/a	n/a	Micro
Blackrock California Municipal 2018 Term Trust	96559750.28	2001.0	n/a	n/a	Micro
BlackRock California Municipal Income Trust	465782121.0	2001.0	n/a	n/a	Small
Blackrock Capital and Income Strategies Fund Inc	671086494.0	2004.0	n/a	n/a	Small
Blackrock Core Bond Trust	758867222.8	2001.0	n/a	n/a	Small
Blackrock Corporate High Yield Fund, Inc.	1408753126.0	2003.0	n/a	n/a	Small
BlackRock Credit Allocation Income Trust	1442544557.0	2006.0	n/a	n/a	Small
Blackrock Debt Strategies Fund, Inc.	715851700.7	1998.0	n/a	n/a	Small
BlackRock Energy and Resources Trust	372518321.7	2004.0	n/a	n/a	Small
Blackrock Enhanced Equity Dividend Trust	1661119450.0	2005.0	n/a	n/a	Small
Blackrock Enhanced Government Fund, Inc	87749881.8	2005.0	n/a	n/a	Micro
Blackrock Floating Rate Income Strategies Fund Inc	520882507.1	2003.0	n/a	n/a	Small
Blackrock Florida Municipal 2020 Term Trust	84210617.92	2003.0	n/a	n/a	Micro
Blackrock Global	324449425.9	2004.0	n/a	n/a	Small
Blackrock Global	908144914.3	2005.0	n/a	n/a	Small
Blackrock Health Sciences Trust	308736456.0	2005.0	n/a	n/a	Small
BlackRock Income Investment Quality Trust	132194956.6	2002.0	n/a	n/a	Micro
BlackRock Income Trust Inc. (The)	402837970.5		n/a	n/a	Small
BLACKROCK INTERNATIONAL, LTD.	700631694.5	2007.0	n/a	n/a	Small
BlackRock Investment Quality Municipal Trust Inc. (The)	264146652.8	1993.0	n/a	n/a	Micro
BlackRock Long-Term Municipal Advantage Trust	163214523.5	2006.0	n/a	n/a	Micro
BlackRock Multi-Sector Income Trust	704558223.5	2013.0	n/a	n/a	Small
Blackrock Muni Intermediate Duration Fund Inc	547253641.1	2003.0	n/a	n/a	Small
Blackrock Muni New York Intermediate Duration Fund Inc	59863981.68	2003.0	n/a	n/a	Micro
Blackrock MuniAssets Fund, Inc.	548449119.8	1993.0	n/a	n/a	Small
Blackrock Municipal 2018 Term Trust	238938580.6	2001.0	n/a	n/a	Micro
Blackrock Municipal 2020 Term Trust	317310327.0	2003.0	n/a	n/a	Small
Blackrock Municipal Bond Trust	167398449.2	2002.0	n/a	n/a	Micro
BlackRock Municipal Income Investment Trust	152779194.5		n/a	n/a	Micro
Blackrock Municipal Income Quality Trust	388436275.8	2002.0	n/a	n/a	Small
BlackRock Municipal Income Trust	644908384.5		n/a	n/a	Small
BlackRock Municipal Target Term Trust Inc. (The)	1610347242.0	2012.0	n/a	n/a	Small
Blackrock MuniEnhanced Fund, Inc.	360175098.2	1989.0	n/a	n/a	Small
Blackrock MuniHoldings California Quality Fund,  Inc.	612987120.9	1998.0	n/a	n/a	Small
Blackrock MuniHoldings Fund II, Inc.	180970806.5	1998.0	n/a	n/a	Micro
Blackrock MuniHoldings Fund, Inc.	250617042.7	1997.0	n/a	n/a	Micro
Blackrock MuniHoldings Investment Quality Fund	567691410.0	1997.0	n/a	n/a	Small
Blackrock MuniHoldings New Jersey Insured Fund, Inc.	446880279.3	1998.0	n/a	n/a	Small
Blackrock MuniHoldings New York Quality Fund, Inc.	445499249.1	1997.0	n/a	n/a	Small
Blackrock MuniHoldings Quality Fund II, Inc.	317464658.4		n/a	n/a	Small
Blackrock MuniHoldings Quality Fund, Inc.	181043866.3	1998.0	n/a	n/a	Micro
Blackrock MuniVest Fund II, Inc.	333796412.3	1993.0	n/a	n/a	Small
Blackrock MuniYield California Fund, Inc.	330966659.6	1992.0	n/a	n/a	Small
Blackrock MuniYield California Insured Fund, Inc.	531568327.7	1992.0	n/a	n/a	Small
Blackrock MuniYield Fund, Inc.	718783152.8	1991.0	n/a	n/a	Small
Blackrock MuniYield Investment Fund	218464558.3	1992.0	n/a	n/a	Micro
Blackrock MuniYield Investment QualityFund	126434079.3	1992.0	n/a	n/a	Micro
Blackrock MuniYield Michigan Quality Fund, Inc.	417940941.0	1992.0	n/a	n/a	Small
